task_id,dataset,dataset_source,strategy,repo,run_mode,reportable,task_is_fixture,task_is_real_world,provider,model,provider_is_mock,pass_rate,initial_pass,final_pass,final_status,repair_rounds,repair_gain,edited_file_count,edited_files,files_inspected_count,files_inspected,files_proposed_count,proposed_files,candidate_files,localized_repair_rate,localization_precision,localization_recall,target_file_precision,target_file_recall,implementation_precision,implementation_recall,missing_target_files,missing_expected_files,missing_implementation_files,expected_file_count,implementation_file_count,ground_truth_precision,ground_truth_recall,ground_truth_file_count,oracle_file_precision,oracle_file_recall,oracle_file_count,missing_oracle_files,under_localized_ground_truth,under_localized_targets,implementation_under_localized,candidate_overlap_rate,tokens_used,planning_time,build_failures,test_failures,timeout_rate,full_regeneration_rate,avg_subtasks_touched,multi_file_attempt_rate,avg_attempt_file_count,dominant_failing_tests,dominant_failure_modes,dominant_failure_category,dominant_semantic_failure,contract_coverage,contract_satisfied,contract_unsatisfied,contract_failure_categories,contract_failure_cases,failing_tests_after_run,retrieval_mode,retrieval_candidate_count,retrieval_scanned_files,retrieval_content_inspected,round_trace_path,setup_status,setup_duration,setup_plan_strategy,setup_requires_network,setup_last_log,setup_summary_path,multi_file_edit,expected_multi_file,implementation_multi_file_edit,implementation_multi_file_expected
cc_tmuxp_stop_home_trap,capability_clash,tmux_python_tmuxp,contract_first,/Users/karanallagh/Desktop/DataCollector/data/capability_clash/tasks/cc_tmuxp_stop_home_trap/workspace,real_world_research,True,False,True,openai,gpt-4.1,False,1.0,1.0,1.0,passed_initial,0.0,0.0,1.0,src/tmuxp/workspace/finders.py,1.0,src/tmuxp/workspace/finders.py,1.0,src/tmuxp/workspace/finders.py,src/tmuxp/workspace/finders.py;CHANGES;tests/workspace/test_finders_local.py;src/tmuxp/cli/load.py;tests/workspace/test_builder.py;src/tmuxp/cli/_progress.py;AGENTS.md;CLAUDE.md;tests/cli/test_progress.py;src/tmuxp/_internal/colors.py;tests/workspace/test_finder.py;src/tmuxp/workspace/builder.py,0.0,1.0,0.08333333333333333,1.0,1.0,1.0,1.0,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,3010.0,5.64202245803861,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,passed,,0.0,,,,,,"path,content",12,328,242,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/contract_first/cc_tmuxp_stop_home_trap.json,success,2.813046499970369,task_defined,0.0,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/cc_tmuxp_stop_home_trap/contract_first/logs/setup_0_setup.log,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/cc_tmuxp_stop_home_trap/contract_first/logs/setup_summary.json,0.0,0.0,0.0,0.0
cc_tmuxp_stop_home_trap,capability_clash,tmux_python_tmuxp,direct_baseline,/Users/karanallagh/Desktop/DataCollector/data/capability_clash/tasks/cc_tmuxp_stop_home_trap/workspace,real_world_research,True,False,True,openai,gpt-4.1,False,0.0,0.0,0.0,setup_failed,0.0,0.0,0.0,,0.0,,0.0,,src/tmuxp/workspace/finders.py;CHANGES;tests/workspace/test_finders_local.py;src/tmuxp/cli/load.py;tests/workspace/test_builder.py;src/tmuxp/cli/_progress.py;AGENTS.md;CLAUDE.md;tests/cli/test_progress.py;src/tmuxp/_internal/colors.py;tests/workspace/test_finder.py;src/tmuxp/workspace/builder.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,"path,content",12,328,242,,failed,2.8740572499809787,task_defined,0.0,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/cc_tmuxp_stop_home_trap/direct_baseline/logs/setup_0_setup.log,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/cc_tmuxp_stop_home_trap/direct_baseline/logs/setup_summary.json,0.0,0.0,0.0,0.0
cc_tmuxp_stop_home_trap,capability_clash,tmux_python_tmuxp,pattern_skeleton,/Users/karanallagh/Desktop/DataCollector/data/capability_clash/tasks/cc_tmuxp_stop_home_trap/workspace,real_world_research,True,False,True,openai,gpt-4.1,False,0.0,0.0,0.0,setup_failed,0.0,0.0,0.0,,0.0,,0.0,,src/tmuxp/workspace/finders.py;CHANGES;tests/workspace/test_finders_local.py;src/tmuxp/cli/load.py;tests/workspace/test_builder.py;src/tmuxp/cli/_progress.py;AGENTS.md;CLAUDE.md;tests/cli/test_progress.py;src/tmuxp/_internal/colors.py;tests/workspace/test_finder.py;src/tmuxp/workspace/builder.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,"path,content",12,328,242,,failed,2.5849915830185637,task_defined,0.0,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/cc_tmuxp_stop_home_trap/pattern_skeleton/logs/setup_0_setup.log,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/cc_tmuxp_stop_home_trap/pattern_skeleton/logs/setup_summary.json,0.0,0.0,0.0,0.0
cc_tmuxp_stop_home_trap,capability_clash,tmux_python_tmuxp,semantic_diff,/Users/karanallagh/Desktop/DataCollector/data/capability_clash/tasks/cc_tmuxp_stop_home_trap/workspace,real_world_research,True,False,True,openai,gpt-4.1,False,0.0,0.0,0.0,setup_failed,0.0,0.0,0.0,,0.0,,0.0,,src/tmuxp/workspace/finders.py;CHANGES;tests/workspace/test_finders_local.py;src/tmuxp/cli/load.py;tests/workspace/test_builder.py;src/tmuxp/cli/_progress.py;AGENTS.md;CLAUDE.md;tests/cli/test_progress.py;src/tmuxp/_internal/colors.py;tests/workspace/test_finder.py;src/tmuxp/workspace/builder.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,"path,content",12,328,242,,failed,2.5474984170286916,task_defined,0.0,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/cc_tmuxp_stop_home_trap/semantic_diff/logs/setup_0_setup.log,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/cc_tmuxp_stop_home_trap/semantic_diff/logs/setup_summary.json,0.0,0.0,0.0,0.0
cc_tmuxp_home_skip_trap,capability_clash,tmux_python_tmuxp,contract_first,/Users/karanallagh/Desktop/DataCollector/data/capability_clash/tasks/cc_tmuxp_home_skip_trap/workspace,real_world_research,True,False,True,openai,gpt-4.1,False,1.0,0.0,1.0,passed_after_repair,1.0,1.0,1.0,src/tmuxp/workspace/finders.py,2.0,src/tmuxp/workspace/finders.py;tests/workspace/test_finders_local.py,2.0,src/tmuxp/workspace/finders.py;tests/workspace/test_finders_local.py,tests/workspace/test_finders_local.py;src/tmuxp/workspace/finders.py;CHANGES;AGENTS.md;CLAUDE.md;tests/workspace/test_finder.py;tests/fixtures/workspace/shell_command_before.py;tests/fixtures/import_tmuxinator/test2.py;tests/fixtures/import_tmuxinator/test3.py;docs/about_tmux.md;tests/cli/test_ls.py;tests/cli/test_load.py,1.0,1.0,0.08333333333333333,1.0,0.5,1.0,0.5,tests/workspace/test_finders_local.py,tests/workspace/test_finders_local.py,tests/workspace/test_finders_local.py,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,9581.0,12.079115126037303,0.0,0.0,0.0,0.0,1.0,0.0,0.5,,,passed,,0.0,,,,,,"path,content",12,328,165,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/contract_first/cc_tmuxp_home_skip_trap.json,success,2.4731649170280434,task_defined,0.0,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/cc_tmuxp_home_skip_trap/contract_first/logs/setup_0_setup.log,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/cc_tmuxp_home_skip_trap/contract_first/logs/setup_summary.json,0.0,1.0,0.0,1.0
cc_tmuxp_home_skip_trap,capability_clash,tmux_python_tmuxp,direct_baseline,/Users/karanallagh/Desktop/DataCollector/data/capability_clash/tasks/cc_tmuxp_home_skip_trap/workspace,real_world_research,True,False,True,openai,gpt-4.1,False,0.0,0.0,0.0,exhausted_repairs,2.0,0.0,0.0,,2.0,src/tmuxp/workspace/finders.py;tests/workspace/test_finders_local.py,2.0,src/tmuxp/workspace/finders.py;tests/workspace/test_finders_local.py,tests/workspace/test_finders_local.py;src/tmuxp/workspace/finders.py;CHANGES;AGENTS.md;CLAUDE.md;tests/workspace/test_finder.py;tests/fixtures/workspace/shell_command_before.py;tests/fixtures/import_tmuxinator/test2.py;tests/fixtures/import_tmuxinator/test3.py;docs/about_tmux.md;tests/cli/test_ls.py;tests/cli/test_load.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,src/tmuxp/workspace/finders.py;tests/workspace/test_finders_local.py,src/tmuxp/workspace/finders.py;tests/workspace/test_finders_local.py,src/tmuxp/workspace/finders.py;tests/workspace/test_finders_local.py,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,13663.0,12.966056042001583,0.0,0.0,0.0,1.0,0.0,0.0,0.0,payload_lint,fail::test edits are prohibited: tests/workspace/test_finders_local.py,fail::test edits are prohibited: tests/workspace/test_finders_local.py,,0.0,,,,,payload_lint,"path,content",12,328,165,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/direct_baseline/cc_tmuxp_home_skip_trap.json,success,3.135887750016991,task_defined,0.0,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/cc_tmuxp_home_skip_trap/direct_baseline/logs/setup_0_setup.log,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/cc_tmuxp_home_skip_trap/direct_baseline/logs/setup_summary.json,0.0,1.0,0.0,1.0
cc_tmuxp_home_skip_trap,capability_clash,tmux_python_tmuxp,pattern_skeleton,/Users/karanallagh/Desktop/DataCollector/data/capability_clash/tasks/cc_tmuxp_home_skip_trap/workspace,real_world_research,True,False,True,openai,gpt-4.1,False,1.0,0.0,1.0,passed_after_repair,1.0,1.0,1.0,src/tmuxp/workspace/finders.py,2.0,src/tmuxp/workspace/finders.py;tests/workspace/test_finders_local.py,2.0,src/tmuxp/workspace/finders.py;tests/workspace/test_finders_local.py,tests/workspace/test_finders_local.py;src/tmuxp/workspace/finders.py;CHANGES;AGENTS.md;CLAUDE.md;tests/workspace/test_finder.py;tests/fixtures/workspace/shell_command_before.py;tests/fixtures/import_tmuxinator/test2.py;tests/fixtures/import_tmuxinator/test3.py;docs/about_tmux.md;tests/cli/test_ls.py;tests/cli/test_load.py,1.0,1.0,0.08333333333333333,1.0,0.5,1.0,0.5,tests/workspace/test_finders_local.py,tests/workspace/test_finders_local.py,tests/workspace/test_finders_local.py,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,9356.0,12.903830790984426,0.0,0.0,0.0,0.0,1.0,0.0,0.5,,,passed,,0.0,,,,,,"path,content",12,328,165,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/pattern_skeleton/cc_tmuxp_home_skip_trap.json,success,2.6599112909752876,task_defined,0.0,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/cc_tmuxp_home_skip_trap/pattern_skeleton/logs/setup_0_setup.log,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/cc_tmuxp_home_skip_trap/pattern_skeleton/logs/setup_summary.json,0.0,1.0,0.0,1.0
cc_tmuxp_home_skip_trap,capability_clash,tmux_python_tmuxp,semantic_diff,/Users/karanallagh/Desktop/DataCollector/data/capability_clash/tasks/cc_tmuxp_home_skip_trap/workspace,real_world_research,True,False,True,openai,gpt-4.1,False,0.0,0.0,0.0,exhausted_repairs,2.0,0.0,0.0,,2.0,src/tmuxp/workspace/finders.py;tests/workspace/test_finders_local.py,2.0,src/tmuxp/workspace/finders.py;tests/workspace/test_finders_local.py,tests/workspace/test_finders_local.py;src/tmuxp/workspace/finders.py;CHANGES;AGENTS.md;CLAUDE.md;tests/workspace/test_finder.py;tests/fixtures/workspace/shell_command_before.py;tests/fixtures/import_tmuxinator/test2.py;tests/fixtures/import_tmuxinator/test3.py;docs/about_tmux.md;tests/cli/test_ls.py;tests/cli/test_load.py,1.0,0.0,0.0,0.0,0.0,0.0,0.0,src/tmuxp/workspace/finders.py;tests/workspace/test_finders_local.py,src/tmuxp/workspace/finders.py;tests/workspace/test_finders_local.py,src/tmuxp/workspace/finders.py;tests/workspace/test_finders_local.py,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,14424.0,13.559190833957214,0.0,0.0,0.0,0.0,2.0,0.0,0.0,payload_lint,"fail::multi-file target requires edits for ['src/tmuxp/workspace/finders.py', 'tests/w","fail::multi-file target requires edits for ['src/tmuxp/workspace/finders.py', 'tests/w",,0.0,,,,,payload_lint,"path,content",12,328,165,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/semantic_diff/cc_tmuxp_home_skip_trap.json,success,2.572207957971841,task_defined,0.0,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/cc_tmuxp_home_skip_trap/semantic_diff/logs/setup_0_setup.log,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/cc_tmuxp_home_skip_trap/semantic_diff/logs/setup_summary.json,0.0,1.0,0.0,1.0
cc_tmuxp_yaml_precedence_trap,capability_clash,tmux_python_tmuxp,contract_first,/Users/karanallagh/Desktop/DataCollector/data/capability_clash/tasks/cc_tmuxp_yaml_precedence_trap/workspace,real_world_research,True,False,True,openai,gpt-4.1,False,0.0,0.0,0.0,exhausted_repairs,2.0,0.0,0.0,,2.0,src/tmuxp/workspace/finders.py;tests/workspace/test_finders_local.py,2.0,src/tmuxp/workspace/finders.py;tests/workspace/test_finders_local.py,tests/workspace/test_finders_local.py;src/tmuxp/workspace/finders.py;tests/workspace/test_builder.py;CHANGES;src/tmuxp/cli/load.py;AGENTS.md;CLAUDE.md;src/tmuxp/workspace/builder.py;tests/workspace/test_import_teamocil.py;tests/workspace/test_finder.py;src/tmuxp/_internal/colors.py;src/tmuxp/cli/search.py,1.0,0.0,0.0,0.0,0.0,0.0,0.0,src/tmuxp/workspace/finders.py;tests/workspace/test_finders_local.py,src/tmuxp/workspace/finders.py;tests/workspace/test_finders_local.py,src/tmuxp/workspace/finders.py;tests/workspace/test_finders_local.py,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,14124.0,11.952151292052463,0.0,0.0,0.0,0.0,2.0,0.0,0.0,payload_lint,fail::test edits are prohibited: tests/workspace/test_finders_local.py,fail::test edits are prohibited: tests/workspace/test_finders_local.py,,0.0,,,,,payload_lint,"path,content",12,328,273,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/contract_first/cc_tmuxp_yaml_precedence_trap.json,success,2.4731229160097428,task_defined,0.0,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/cc_tmuxp_yaml_precedence_trap/contract_first/logs/setup_0_setup.log,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/cc_tmuxp_yaml_precedence_trap/contract_first/logs/setup_summary.json,0.0,1.0,0.0,1.0
cc_tmuxp_yaml_precedence_trap,capability_clash,tmux_python_tmuxp,direct_baseline,/Users/karanallagh/Desktop/DataCollector/data/capability_clash/tasks/cc_tmuxp_yaml_precedence_trap/workspace,real_world_research,True,False,True,openai,gpt-4.1,False,0.0,0.0,0.0,exhausted_repairs,2.0,0.0,0.0,,2.0,src/tmuxp/workspace/finders.py;tests/workspace/test_finders_local.py,2.0,src/tmuxp/workspace/finders.py;tests/workspace/test_finders_local.py,tests/workspace/test_finders_local.py;src/tmuxp/workspace/finders.py;tests/workspace/test_builder.py;CHANGES;src/tmuxp/cli/load.py;AGENTS.md;CLAUDE.md;src/tmuxp/workspace/builder.py;tests/workspace/test_import_teamocil.py;tests/workspace/test_finder.py;src/tmuxp/_internal/colors.py;src/tmuxp/cli/search.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,src/tmuxp/workspace/finders.py;tests/workspace/test_finders_local.py,src/tmuxp/workspace/finders.py;tests/workspace/test_finders_local.py,src/tmuxp/workspace/finders.py;tests/workspace/test_finders_local.py,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,13465.0,8.714195709093474,0.0,0.0,0.0,1.0,0.0,0.0,0.0,payload_lint,fail::test edits are prohibited: tests/workspace/test_finders_local.py,fail::test edits are prohibited: tests/workspace/test_finders_local.py,,0.0,,,,,payload_lint,"path,content",12,328,273,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/direct_baseline/cc_tmuxp_yaml_precedence_trap.json,success,2.4995921250083484,task_defined,0.0,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/cc_tmuxp_yaml_precedence_trap/direct_baseline/logs/setup_0_setup.log,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/cc_tmuxp_yaml_precedence_trap/direct_baseline/logs/setup_summary.json,0.0,1.0,0.0,1.0
